title,country,location,date,sector,contract_type,exp,study_level,job_description
télévendeurs/télévendeuses en émission d’appels pour un Fournisseur d’Energie Gaz et Electricté WEEK-END OFF,Maroc,Casablanca,27/09/2021,Centre d'appel,CDI,De 1 à 3 ans,Bac,"Telesales experience required. Perfect mastery of the French language both orally and in writing. Dominating commercial sense. Ability to quickly identify customer needs. Customer approach and strong ability to convince. The taste of the challenge while making sure to perform quality work, apply and follow the instructions. An asserted personality coupled with a great ability to listen and adapt and versatility allowing you to work on different products. Dynamism. Directness. Comply with rigorous treatment processes. Adapt your commercial argument to your interlocutor."
Conseiller en Assurance francophone en Réception d'appels,Maroc,Casablanca,27/09/2021,Centre d'appel,CDI,Débutant,Bac,"To be an insurance advisor, you must have:   A good level in French;   A good ability to communicate orally as well as in writing;   A sense of listening and sharp service.   D a baccalaureate or higher level of training,   Energy, enthusiasm, and a lot of dynamism. Experience in disaster management is an asset, but young graduates are accepted."
Conseiller Clientèle Parfaitement Francophone en réception d'appel,Maroc,Casablanca,27/09/2021,Centre d'appel,CDI,Débutant,Bac,"To be a customer advisor you must have: An excellent mastery of the French language; A good ability to communicate orally as well as in writing; A sense of listening and sharp service; A baccalaureate level training or more, Energy, enthusiasm, and a lot of dynamism. Experience in a similar position is an asset, but young graduates are accepted."
Conseiller Clientèle en Assistance technique parfaitement Francophone - Réception d'appels,Maroc,Casablanca,27/09/2021,Centre d'appel,CDI,Débutant,Bac,"To be a customer advisor you must have: Experience in a similar position is an asset, but young graduates are accepted. Good luck! An excellent mastery of the French language; A good ability to communicate orally as well as in writing; A sense of listening and sharp service; A baccalaureate level training or more, Energy, enthusiasm, and a lot of dynamism."
Conseiller clientèle Francophone en réception d'appels - Secteur Automobile,Maroc,Casablanca,27/09/2021,Centre d'appel,CDI,Débutant,Bac,"To be a customer advisor you must have: An excellent mastery of the French language; A good ability to communicate orally as well as in writing; A sense of listening and sharp service; A baccalaureate level training or more, Energy, enthusiasm, and a lot of dynamism. Experience in a similar position is an asset, but young graduates are accepted."
Conseiller Clientèle Parfaitement Bilingue Français & Anglais en réception d'appel,Maroc,Casablanca,27/09/2021,Centre d'appel,CDI,Débutant,Bac,"To be a customer advisor you must have: Experience in a similar position is an asset, but young graduates are accepted. Good luck! An excellent mastery of the French and English language; A good ability to communicate orally as well as in writing; A sense of listening and sharp service; A baccalaureate level training or more, Energy, enthusiasm, and a lot of dynamism."
Chef de projet SI Senior,Maroc,Casablanca,27/09/2021,Banque / Finance,CDI,De 5 à 10 ans,Bac +5 et plus,"De Formation Bac + 5 (Ecole d'Ingénieur or University) specialisation Informatique. You justify 5 years of minimum experience in a similar position. Competencies required: Know in depth the technical characteristics of the products/services, their competitive positioning, the evolution of the market, scrutinizing best practices... Demonstrate diligence and initiative in problem solving To have knowledge of the main safety standards in force at the Bank's sites"
Développeur Mobile IOS Confirmé,Maroc,Casablanca,27/09/2021,Banque / Finance,CDI,De 5 à 10 ans,Bac +5 et plus,"You are Bac+5 Computer Education and justify 5 years of experience as an IOS developer.  You master the following environments: Do you want to integrate a major player in the Moroccan economy, with a multitude of beautiful projects in the process? Apply and join us! Java – Swift iOS, Rx AlamoFire Unit Testing : JUnit, Mockito IU Testing Automation: cucumer, selenium CI: Git, Gitflow, Jenkins, Sonar Best practices : Clean code, TDD, Design Pattern, multithreading Agile methodologies"
Technical Lead Java JEE,Maroc,Casablanca,27/09/2021,Banque / Finance,CDI,De 5 à 10 ans,Bac +5 et plus,"Profile sought: You are a Bac + 5 and more, and you have between 5 and 10 years of experience. Competencies required: To be able to build or evolve the workflow of an application, Design and optimize a Devops chain of a complex environment involving one or more teams, Address the problems posed by a concrete solution based on the convergence of various information."
Développeur Full Stack Confirmé,Maroc,Casablanca,27/09/2021,Banque / Finance,CDI,De 3 à 5 ans,Bac +5 et plus,"De Formation Bac + 5 in computer science and with an experience of at least 5 years as a Full Stack Developer. You have technical skills both in Backend development (Java J2EE, Spring, Hibernate) and Frontend development (Angular, Javascript, Typescript, HTML5, CSS3). If you are looking for new challenges, join us quickly and also participate in the writing of the Digital History of one of the largest African banks."
Ingénieur en Informatique et Réseaux,Maroc,Rabat,27/09/2021,Informatique,CDI,De 3 à 5 ans,Bac +4,"Autonomy: Computer engineer (minimum Bac + 4) Experience 3 years in integrating IP and network security solutions. Controlling Windows Server, Unix / Linux environments (required) Experience of IPS, Firewall, UTM, SIEM, MDM, Endpoint Security, etc... Perfect network knowledge (TCP/IP battery, VoIP, etc.) Ability to study customer needs and offer appropriate technical solutions. Design of technical solutions and response to calls for tenders. Familiarize with PMP project management methods. Good knowledge of computer security. Good knowledge of a programming language (PERL, C++, J2EE or others). Ability to write reports in English and French. Rigueur, meaning of the method Ease and speed of adaptation Analyzing and reverse-taking capability Intellectual curiosity, interest in science and technology Ability to work as a team Practice of written and oral English"
Consultant Informatica (H/F),Maroc,Casablanca,27/09/2021,Informatique,CDI,De 1 à 3 ans,Bac +5 et plus,"Your profile: Position based in Casablanca. Graduated from a major state engineering school or Master 2 with speciality around a Data Analytics discipline (Big Data, BI), you have more than 2 years of experience. You can develop, implement and configure the Informatica PWC tool and have a very good SQL culture. You have significant experience in data extraction and transformation (ETL Technologies). Experience in data warehouse modelling (Datawarehouse, Datamart, Datalake) is desirable. An experience on Informatica PWC (Power Center) is a plus. You have the ability to analyze and synthesis and a team spirit. You have an excellent management of time and priorities and the ability to take lead on topics. You have a very good level of oral and written English."
Développeur Big Data Confirmé,Maroc,Casablanca,27/09/2021,Banque / Finance,CDI,De 3 à 5 ans,Bac +5 et plus,"Profile sought: Bac+5 training in computer science and with 3 years minimum experience, as a developer on BigData NoSQL architectures. Technical skills required: Big Data (Hadoop, Spark, Storm, Kafka), NoSql, Elasticsearch, Datamining, Analytics. If you are looking for new challenges, join us quickly and also participate in the writing of the Digital History of a larger African bank."
Coach Agile,Maroc,Casablanca,27/09/2021,Banque / Finance,CDI,De 5 à 10 ans,Bac +5 et plus,"You have a Bachelor's degree in Computer Science and have at least 5 years of operational experience in Lean or agile environments. Curious and passionate about good programming practices and new technologies. You like teamwork and have an excellent relationship. Technology watch is part of your daily life and you know how to use it to propose new ideas. Do you want to integrate a major player in the Moroccan economy, with a multitude of beautiful projects? Join us! You have already been actively involved in the implementation of agility either on the business side (product) or within development teams, You are familiar with organizational transformations, You master the different practices : Agile, Lean, Product Discovery, You are passionate about your profession as well as the mindset Agile that you share regularly by creating workshops, trainings and serious games, You know how to listen and adapt your approach to all levels of contact, You kindly use the coach's posture and you know how to give and receive feedback, First practicing this, you set an example by testing new approaches and working methods."
Data Protection Custodian,Maroc,Casablanca,27/09/2021,Banque / Finance,CDI,De 3 à 5 ans,Bac +5 et plus,"With Bac+5 in Computer Engineering and New Technologies Data, you justify a 3- to 5-year experience in a similar position ideally in the banking environment. You have, in addition to analytical and editorial qualities, an acute sense of human relations that will allow you to evolve in a growing structure."
Analyste Rationalisation des Coûts et des Structures Senior,Maroc,Casablanca,27/09/2021,Banque / Finance,CDI,De 5 à 10 ans,Bac +5 et plus,"From Bac+5 in Finance Accounting, type School of Commerce or Engineer, you justify a proven experience of at least 5 years in a similar position ideally in the banking environment You have good knowledge of financial analysis and budgetary control. You manage projects in a methodical and efficient manner. You are endowed with rigor, analytical spirit and good relational ease."
Chargé Etudes & Développement Senior,Maroc,Casablanca,27/09/2021,Banque / Finance,CDI,De 5 à 10 ans,Bac +5 et plus,"From Bac+5 type School of Engineer or University, you benefit from an experience between 5 and 10 years in a similar position. You control the following technologies: Java J2E, Angular, Cobol mainframe. Team spirit, analysis and synthesis, and good relational qualities are good assets to fully succeed in this position."
Comptable Senior,Maroc,Casablanca,27/09/2021,Banque / Finance,CDI,De 5 à 10 ans,Bac +5 et plus,"From Bac+5 in Finance Accounting, type School of Commerce or Engineer, you justify a proven experience of at least 5 years in a similar position ideally in the banking environment You have good knowledge of financial analysis and budgetary control. You manage projects in a methodical and efficient manner. You are endowed with rigor, analytical spirit and good relational ease."
Conseiller Fiscal,Maroc,Casablanca,27/09/2021,Banque / Finance,CDI,De 5 à 10 ans,Bac +5 et plus,"From Bac+5 in Finance Accounting, type School of Commerce or Engineer, you justify a proven experience of at least 5 years in a similar position ideally in the banking environment You have good knowledge of financial analysis and budgetary control. You manage projects in a methodical and efficient manner. You are endowed with rigor, analytical spirit and good relational ease."
Développeur Java JEE Confirmé,Maroc,Casablanca,27/09/2021,Banque / Finance,CDI,De 3 à 5 ans,Bac +5 et plus,"De Formation Bac + 5 in computer science and with an experience of at least 3 years as an Application Developer. You must master: Java 8, Javascript, HTML, CSS, PostgreSQL, Twitter Bootstrap, JUnit. You will integrate a multidisciplinary team (Scrum Master, Product Owner and Developers) organized around the Agile practices proposed by Scrum. If you are looking for new challenges and you recognize in the description below, join us quickly and also participate in the writing of the Digital History of one of the largest African bank."
Ingénieur d'Essais Automobiles F/H,Maroc,Oued-Zem,27/09/2021,Automobile / Motos / Cycles,CDI,De 3 à 5 ans,Bac +5 et plus,"Profile sought: Bac+5 training in Engineering School Mastery of English and French, other foreign language(s) mastered would be an asset, Autonomy, editorial and synthesis qualities, listening Adaptability and customer-oriented relational ease Microsoft Master Pack (Excel, Word, Powerpoint)  Technical background and interest in the automotive industry  Good driving mastery"
Développeur .NET / .NET CORE,Maroc,Casablanca,27/09/2021,Conseil / Etudes,CDI,De 1 à 3 ans,Bac +5 et plus,"Higher education, engineering school or baccalaureate +5 with a minimum experience of 2 years Language :.Net.Net Core, ASP.NET C# ASP.NET MVC Architecture : Kubernetes, microservice, SOA Source Manager: TFS, GIT Data Manager: SQL, MongoDB The practice of Agile methodologies is a plus. You are self-sustaining in carrying out your missions, subject to the deadlines and objectives set. You have a margin of initiatives to propose the development methods and programming languages best suited to the objectives"
Contrôleur financier - Stage,Maroc,Rabat,27/09/2021,Comptabilité / Audit,Stage,Débutant,Bac +5 et plus,"Profile Bac+4 5 training in management control finance. You are rigorous, organized and dynamic You have the spirit of analysis and synthesis and like to work as a team. You have a good level of communication in French You can control MS Office tools including Excel P.S. This is a paid internship."
Technicien Support Informatique Mac OS Franco-Anglophone,Maroc,Agadir,27/09/2021,Informatique,CDI,De 1 à 3 ans,Bac +2,"Qualifications · Computer technician or equivalent BAC+2 +3 · Good level in English and French · Experience in the MacOS iOS environment is mandatory · Experience in the field of assistance and/or computer security is a merit · A good technical understanding and a strong interest in information technology: Operating systems services (customer-based OS, OSX, MDM, etc.) · Basic AD services · General competence in defect finding and problem solving · Oriented towards results and solutions, with a strong ability to solve computer problems · Ability to act in the event of computer problems · Ability to work independently on facility-related tasks · Knowledge of information security routines and processes · Ability to understand and convert theoretical processes and information into actions · Ability to work independently and combine strict safety rules with the daily needs of the project · SharePoint support (user rights, minor problem solving) · VPN services (problem resolution and user rights) Desired competencies Self-organization Initiative Quality orientation Problem analysis Loyalty to the Organization"
Chef de Projet Formation Franco-anglophone pour la Business Unit Travel,Maroc,Marrakech,27/09/2021,Tourisme / Voyage / Loisirs ,CDI,De 1 à 3 ans,Bac +4,"  Advanced training in human resources or management   You have at least 2 years of experience in a similar position (call centres or tourism sector)   You master the development of training engineering and content creation   You are the guarantor of the achievement of the desired objectives   You are customer oriented and result   You know how to manage several complex projects, anticipate risks, means and needs   You master English and French in writing and oral   You have a spirit of synthesis   You are a good communicater and have editorial skills   You're a creative person.   You know how to adapt learning modalities to the needs and the trained public   Rigor, respect for guidelines and management of priorities are major assets to succeed your mission   Knowledge of Global Distribution System (GDS) tools is an asset   P.S: provide for the presentation of engineering work carried out in maintenance Benefits We offer you:   An attractive wage package   A panel of benefits: health insurance, on-site catering, nursery subsidy, discounts with brands agreed with Webhelp...   Pleasant working conditions and prospects for change"
Chargé(e) de Recrutement Franco-anglophone des Conseillers Clients,Maroc,Marrakech,27/09/2021,Centre d'appel,CDI,De 1 à 3 ans,Bac +3,"  Higher human resources training   You have a perfect command of French and English in writing and oral   You have a successful one-year experience in a similar position, ideally in call centres   You know the techniques of mass recruitment   You are recognized for your ability to offer a good candidate experience   You have an active listening   You are recognized for your relational qualities and team spirit   You are oriented results   You have a spirit of analysis and synthesis   You have demonstrated the ability to work in a multi-client organization   Proactivity, organization and sense of adaptation are major qualities to carry out your mission  Benefits  We offer you:   An attractive wage package   A panel of benefits   Pleasant working conditions and prospects for change"
Technicien Informatique Site,Maroc,Rabat,27/09/2021,Informatique,CDI,De 1 à 3 ans,Bac +2,"Profile Bac+2 training in computer science, You justify a successful experience of at least one year in a similar position, You have a good knowledge of the physical architecture of a workstation, You have a good knowledge of operating systems, common configurations, office tools and computer networks You know how to use tools to diagnose, monitor network equipment and detect wiring defects You control computer security rules and operating instructions. You control the support remotely. You have the power to propose. Hourly flexibility to be expected Benefits We offer you: An attractive wage package A panel of social benefits: health insurance, on-site catering, rest room, crèche subvention crèche... Pleasant working conditions and career prospects facilitated by Webhelp's investment in continuing training"
Conseiller Franco Anglophone,Maroc,Rabat,27/09/2021,Centre d'appel,Autre,Débutant,Bac,"Profile   You master French and English in writing and oral   You have a commercial appetite.   You're showing empathy.   You are proactive, autonomous and rigorous   You're comfortable with the computer and internet tool Come and learn, grow and contribute to the success of the teams by taking advantage of your sense of service!"
VDI Expert,Maroc,Rabat,27/09/2021,Telecom,CDI,De 3 à 5 ans,Bac +3,"Profile sought   You are perfectly English-speaking (English is a must have)   You have great communication skills. Communicate to you simply on complex topics to transmit information and facilitate decision-making.   You have at least 3 years' experience in the design and implementation of virtual infrastructures using desktop virtualization products and VMWare and Citrix applications.   You have confirmed experience with Citrix XenDesktop and VMware Horizon solutions   You're in control of cloud environments   You with an in-depth understanding of Windows Active Directory, groups and policies.   You are familiar with OS servers (2012, 2016, and 2019) desktop versions (Windows 10)   You have experience in managing Linux workstations   You know scripting (bash, python, batch, ansible, salt stack, puppet, chef...)   You have a spirit of analysis and synthesis   You are known for your relational qualities   Rigor, customer orientation solutions and proactivity are major skills to carry out your mission."
Cloud System Architect,Maroc,Rabat,27/09/2021,Informatique,CDI,De 5 à 10 ans,Bac +5 et plus,"What were looking for Your leadership skills and ability to motivate others will get you far in your journey with us. You are globally minded but can adapt any strategy to local teams and management styles to drive results. Likewise, it is important that you can multitask, work to very guidelines under pressure and make decisions where appropriate and within the scope of your role. We的ll be a great match if you:   Minimal of 5 year的s experience in Azure infrastructure design   Can establish best practices while monitoring performance, scalability and cost effectiveness of Azure infrastructure   Push strong expertise in Azure infrastructure and deep knowledge of Azure IaaS, PaaS   Demonstrate hands on experience of operating cloud native projects in Azure with DevOps   Have knowledge of or experience in: o Networking principals: TCP IP, Routers, Firewalls, Switches, Load Balancers, VPNs, virtual networks, routing path o Security (Azure AD, data encryption, data transfer, monitoring, RBAC Strategy) o Backup and Disaster Recovery Strategy o ARM Template & Hashicorp Terraform, Powershell, JSON, SQL, SAS R, VB, etc.   Can work within a team as well as on your own initiative   Are fluent in English (French would be appreciated) You appreciate our values of recognition, integrity, unity, commitment and you are eager to create the ""wow"" too. You are excited to share our organizational culture with your team as well as externally with our partners, customers and stakeholders. Who we are Webhelp is French multinational BPO company with a global impact and footprint. We focus on creating superb customer experiences and developing business solutions adapted to each company. We enhance the value of the most innovative brands by combining intelligence and emotion to make business more human. By?joining Webhelp,?you will be part of our community of over 60,000 employees from more than 150 locations in 50 countries making a difference each day!  If this exciting opportunity sounds like you, join us!  Webhelp is an equal opportunity employ. Webhelp considerers diversity as a federal resource and it offers everyone access to employment opportunities, lookless of their gender, age, religion, ethnicity or any other classification protected by applicable national laws. Please let us know if you require accommodation during the interview process."
